",""Dates"",""AAPL"",""MSFT"",""AMZN"",""FB"",""GOOGL"",""TSLA"",""NVDA"",""BAC"",""NFLX"",""KO"""
"160,""2016-01-19"",22.924374,46.952915,596.530029,97.010002,733.619995,39.276001,6.946651,11.579246,99.120003,34.962479"
"161,""2016-01-26"",22.230463,49.600189,574.809998,115.089996,770.77002,39.388,7.161747,12.472705,94.089996,35.659073"
"162,""2016-02-02"",21.903103,44.795204,488.100006,99.75,704.159973,29.598,6.164479,10.962758,83.32,35.368832"
"163,""2016-02-09"",21.785532,45.783401,507.079987,102.010002,706.890015,30.208,6.289138,10.676849,87.400002,35.750294"
"164,""2016-02-16"",22.455389,47.732597,559.5,107.160004,729.049988,35.548,7.704378,11.20399,91.93,36.438599"
"165,""2016-02-23"",22.411352,46.459106,552.52002,106.919998,717.219971,38.386002,7.665269,11.186124,93.410004,35.766884"
"166,""2016-03-01"",23.612007,46.596069,562.799988,105.730003,712.799988,41.057999,7.933608,12.088515,95.489998,36.496647"
"167,""2016-03-08"",23.762661,48.550125,573.369995,109.889999,750.23999,43.029999,7.923795,12.233171,98.129997,37.558136"
"168,""2016-03-15"",24.548414,49.180157,553.97998,111.849998,762.159973,47.664001,8.31876,12.412542,101.059998,38.168613"
"169,""2016-03-22"",24.381531,48.887974,579.869995,113.690002,753.280029,46.051998,8.544451,12.215235,101.209999,38.27726"
"170,""2016-03-29"",25.756021,50.613758,593.190002,112.550003,765.119995,49.397999,8.782412,12.116578,104.349998,39.188229"
"171,""2016-04-05"",25.269268,49.591076,595.929993,108.989998,757.539978,49.984001,8.802035,11.632273,102.68,38.812138"
"172,""2016-04-12"",24.912319,51.554253,635.349976,110.449997,787.679993,50.776001,9.069436,12.708507,108.400002,38.628269"
"173,""2016-04-19"",24.356033,47.58223,626.200012,110.099998,742.210022,50.363998,8.941868,13.417027,93.559998,37.366291"
"174,""2016-04-26"",21.704407,46.212555,683.849976,118.57,714.409973,48.360001,8.831477,13.246622,93.110001,37.591949"
"175,""2016-05-03"",21.507395,45.719479,679.75,119.239998,729.130005,41.784,8.654844,12.547071,90.540001,37.80925"
"176,""2016-05-10"",21.892521,47.326557,710.659973,118.669998,730.299988,41.658001,10.349999,12.493258,89.120003,38.126816"
"177,""2016-05-17"",22.487173,45.682945,696.75,115.970001,717.25,43.243999,10.892153,12.977564,94.889999,36.747845"
